time: 2026-07-01 08:47:28, ID: 8f8918a0-b237-4662-a79a-0f99a36bc52d, name: Title Theme
time: 2026-07-01 08:47:29, ID: 02d7774e-21d8-44fc-8918-b21c250113e5, name: Ingot Isle
time: 2026-07-01 08:47:29, ID: 6261d1b6-f577-4c9a-93fd-7beb6660b907, name: Oh, Banana!
time: 2026-07-01 08:47:29, ID: b10d16ac-b35f-467d-9ccd-a3524bee9005, name: Encounter with Odd Rock #1
time: 2026-07-01 08:47:29, ID: 39e9baa9-f3ea-4132-ae29-8ec1ec05cad7, name: Odd Rock Rescue Battle
time: 2026-07-01 08:47:29, ID: 542edc10-fe66-4750-9195-2a389f139ac7, name: Encounter with Odd Rock #2
time: 2026-07-01 08:47:29, ID: 84d3dc84-a433-464a-874d-24e1bd9ca4d2, name: Ingot Isle: Outside the Tunnel
time: 2026-07-01 08:47:29, ID: 83fd70fd-a796-47f1-8d42-244352465a4c, name: Ingot Isle Falls
time: 2026-07-01 08:47:29, ID: 37d206c0-8cd7-4d3a-b355-80f06eebbd87, name: Enter DK!
time: 2026-07-01 08:47:29, ID: 5bc67f95-42ab-4e7f-8769-3a323fbcaf7c, name: Ingot Isle Cave-In
time: 2026-07-01 08:47:29, ID: 1ea5d1bf-af0b-4966-b207-4596d08004f0, name: You Got a Banandium Gem
time: 2026-07-01 08:47:30, ID: d1cb4d23-876e-4930-a728-547b8a3da26c, name: Lagoon Layer
time: 2026-07-01 08:47:30, ID: cb2f2186-be20-4ea8-bd93-4713c935605c, name: You Got Three Banandium Gems
time: 2026-07-01 08:47:30, ID: 00632f22-cf04-421a-9eac-a90e1acae18d, name: Donkey Kong Bananza
time: 2026-07-01 08:47:30, ID: 80f58119-6cb7-452b-9bf6-98bf82cfc6f5, name: Odd Rock Rescue #2
time: 2026-07-01 08:47:30, ID: b67feda5-f1cd-4e6d-899b-86970909b162, name: Welcome to the Underground World
time: 2026-07-01 08:47:30, ID: b550fb74-776f-45a0-b332-e46bec19a30d, name: Odd Rock Has Decided to Join You!
time: 2026-07-01 08:47:30, ID: e9ba71f6-deec-42c1-a6af-2e41ca6e6b8b, name: Entrance to the Underground World
time: 2026-07-01 08:47:30, ID: ce5afe3b-d361-494f-a0ca-c44364ae6ff3, name: Ingot Isle Cave-In Battle
time: 2026-07-01 08:47:30, ID: 123610e4-efd5-4251-89c5-c54eebd8f100, name: Crockoid Rises
time: 2026-07-01 08:47:30, ID: 5db2b5cc-9b13-46ee-851b-e5719fe3fac9, name: Odd Rock Rescue #1
time: 2026-07-01 08:47:30, ID: 7394b4ad-27a8-4b26-9455-d9bd32da9e82, name: Challenge Course #1
time: 2026-07-01 08:47:30, ID: 1ba98a67-7284-4de6-a069-43536448aac6, name: Pauline Is Now Your Friend!
time: 2026-07-01 08:47:30, ID: 1468d31d-5f1a-4678-9541-57a0fe0b469f, name: Battle Challenge Lobby
time: 2026-07-01 08:47:30, ID: 80a31919-e704-4499-98e2-647848aa4312, name: Lagoon Layer: Salvager's Landing
time: 2026-07-01 08:47:30, ID: 298f1bd0-c1d8-4b37-870e-20ecd7c58f6b, name: Battle Challenge Clear
time: 2026-07-01 08:47:30, ID: 2f8bc707-dc05-4ffc-b26e-386827d9cb69, name: Lagoon Layer Battle
time: 2026-07-01 08:47:30, ID: cbfbd12e-d36e-4bca-b78a-37b50f948b5b, name: Kong Bananza
time: 2026-07-01 08:47:30, ID: 5ed337cd-f75f-48ad-8bf2-2c24e69d6040, name: Battle Challenge
time: 2026-07-01 08:47:30, ID: 95ef9ee1-ee59-4486-b2b2-652c0a1c6958, name: Kong Bananza Lesson
time: 2026-07-01 08:47:30, ID: 8452e9d5-38b0-48e3-9232-18c22026745d, name: The Sinkhole Is Open
time: 2026-07-01 08:47:31, ID: c7976010-77d1-46c3-9f45-5256497ae56f, name: Showdown with Peekabruiser!
time: 2026-07-01 08:47:31, ID: 6cccb53d-3907-4451-8aa6-689a53291b9b, name: Sinkhole Dive
time: 2026-07-01 08:47:31, ID: 39e2d3d6-a79c-4d33-8588-ccb5c438aba5, name: Boss Introduction
time: 2026-07-01 08:47:31, ID: b9fd718e-7eb8-41f9-8975-2e48ac42b1e3, name: Boss Defeated
time: 2026-07-01 08:47:31, ID: dc127bd9-e993-4f73-b509-461dd5232699, name: Peekabruiser Battle
time: 2026-07-01 08:47:31, ID: e40589a9-852f-446c-8c21-4490dcf3b0ca, name: Sinkhole
time: 2026-07-01 08:47:31, ID: 48a2b630-25d5-4c47-a165-3af2e6d41033, name: DK & Pauline Dance
time: 2026-07-01 08:47:31, ID: 4dd1aaf9-9001-44d0-9b25-be1e19ae9a06, name: Void Kong Confrontation
time: 2026-07-01 08:47:31, ID: 69219e3d-b3a4-4663-893a-97ab9f0493b4, name: Poppy Kong Gathers Intelligence
time: 2026-07-01 08:47:31, ID: 7d015279-373e-476d-82c7-bca6542e1876, name: Void Company Revealed
time: 2026-07-01 08:47:31, ID: b5562d24-14d7-4061-b474-9d025d2311cd, name: You Got Five Banandium Gems
time: 2026-07-01 08:47:31, ID: 68f84c5c-9ccd-42a0-9061-a4fdbc502d4b, name: Closet
time: 2026-07-01 08:47:31, ID: 34dadb62-e609-4a14-8b71-7c2b5f3b90c6, name: Canyon Layer
time: 2026-07-01 08:47:31, ID: 4037d1b3-93ad-4ef6-a110-5589adeb779a, name: You Got a Skill Point!
time: 2026-07-01 08:47:31, ID: 6b317b3d-c2cc-48fc-af62-8b34fbd67146, name: 2D Challenge Course #1 (DK Island Swing)
